state,city,date,gender,country,payment,product,amount,
New Yrok,Los Angelas,Jan 1 2020,M,USA,credit,Laptop,"$1,200 ",
York New,LA,1/1/2020,male,US,credi card,Phone,800,
N.Y,San Fransisco,1/2/2020,F,U.S.A,visa,Tablet,350,
New York,SF,2-Jan-20,female,United States,visa card,Monitor,200.5,
New York,Los Angeles,1/3/2020,M,US,paypal,Keyboard,45.99,
New York,LA,4-Jan,2020,m,USA,creditcard,Mouse,25
New York,San Fran,1/5/2020,F,US,cc,Headphones,89.95,
New York,SF,5-Jan-20,fem,USA,pay pal,Speakers,150,
New York,Los Angelas,1/6/2020,M,U.S,credt,Webcam,75.5,
New York,LA,Jan 7 2020,male,US,visa,Printer,220,
New York,San Francisco,1/8/2020,F,USA,credit card,Scanner,180,
New York,SF,8-Jan-20,female,U.S.A.,paypal,Router,99.99,
New York,Los Angeles,1/9/2020,M,US,visa card,Modem,65,
New York,LA,10-Jan,2020,m,U.S.,cc,Cable,12.5
New York,San Fran,1/11/2020,F,USA,paypal,Adapter,8.75,
New York,SF,11-Jan-20,fem,US,credit,Battery,45,
New York,Los Angelas,1/12/2020,M,U.S,credi card,Charger,30,
New York,LA,Jan 13 2020,male,USA,visa,Case,55,
N.Y.,San Francisco,1/14/2020,F,US,pay pal,Screen,250,
N.Y.,SF,14-Jan-20,female,U.S.A.,creditcard,Hard Drive,120,
N.Y.,Los Angeles,1/15/2020,M,USA,cc,SSD,180,
N.Y.,LA,16-Jan,2020,m,US,visa card,RAM,90
N.Y.,San Fran,1/17/2020,F,U.S.,paypal,CPU,350,
N.Y.,SF,17-Jan-20,fem,USA,credit,GPU,500,
NYC,Los Angelas,1/18/2020,M,US,credt,PSU,120,
NYC,LA,Jan 19 2020,male,U.S.A.,visa,Cooler,75,
NYC,San Francisco,1/20/2020,F,USA,pay pal,Fan,25,
NYC,SF,20-Jan-20,female,US,creditcard,Motherboard,200,
NYC,Los Angeles,1/21/2020,M,U.S,cc,Case Fan,15,
NYC,LA,22-Jan,2020,m,USA,visa,Thermal Paste,10
New Yrok,San Fran,1/23/2020,F,US,paypal,Desk,300,
New Yrok,SF,23-Jan-20,fem,U.S.A.,credit,Chair,250,
New Yrok,Los Angelas,1/24/2020,M,USA,credi card,Lamp,40,
New Yrok,LA,Jan 25 2020,male,US,visa card,Monitor,220,
New Yrok,San Francisco,1/26/2020,F,U.S.,paypal,TV,600,
New Yrok,SF,26-Jan-20,female,USA,cc,Soundbar,200,
New Yrok,Los Angeles,1/27/2020,M,US,credit,Subwoofer,150,
New Yrok,LA,28-Jan,2020,m,U.S.A.,visa,Receiver,400
New Yrok,San Fran,1/29/2020,F,USA,pay pal,Antenna,35,
New Yrok,SF,29-Jan-20,fem,US,creditcard,Cable Box,100,
NYC,Los Angelas,1/30/2020,M,U.S,credt,Streaming Stick,50,
NYC,LA,Jan 31 2020,male,USA,visa,Game Console,500,
NYC,San Francisco,2/1/2020,F,US,paypal,Controller,70,
NYC,SF,1-Feb-20,female,U.S.A.,creditcard,Game,60,
NYC,Los Angeles,2/2/2020,M,USA,cc,Headset,90,
NYC,LA,3-Feb,2020,m,US,visa card,Mic,45
New Yrok,San Fran,2/4/2020,F,U.S.,paypal,Camera,350,
New Yrok,SF,4-Feb-20,fem,USA,credit,Lens,200,
New Yrok,Los Angelas,2/5/2020,M,US,credi card,Tripod,80,
New Yrok,LA,Feb 6 2020,male,U.S.A.,visa,Drone,1200,
New Yrok,Los Angelas,Feb 7 2020,F,USA,credit,Robot,800,
York New,LA,2/8/2020,female,US,paypal,Toaster,45,
N.Y,San Fransisco,2/9/2020,M,U.S.A.,visa,Blender,60,
New York,SF,9-Feb-20,m,United States,visa card,Mixer,70,
